sector,Company,기준가,Date,Volume,close,high,low,open,배당성향,gold,유가,Trend_B,Trend_F,C_operation,C_Investing,C_Finance,매출이익,순이익,영업이익,EPS,PBR,PER,UpDI,DownDI,DMI,수익률
Consumer Discretionary,AAPL.UW.Equity,1298.137071,2007-09-01,2440.098178,21.93,22.14,18.57,139.94,0,743,79.91,42,34,1696,396,142,5563,840,1079,0.1,7.9,34.2,44.55,6.43,6.928460342,10.86956522
Consumer Discretionary,AAPL.UW.Equity,1321.894481,2007-10-01,2700.043724,27.14,27.16,21.85,154.63,0,789.5,85.8,41,33,2787,-3462,485,6606,870,1015,0.1,9.2,39.2,56.39,4.9,11.50816327,23.75740994
Consumer Discretionary,AAPL.UW.Equity,1317.804577,2007-11-01,2964.593142,26.03,27.52,21.52,188.6,0,783.5,94.77,37,33,2787,-3462,485,6606,870,1015,0.1,9.2,39.2,44.5,3.75,11.86666667,-4.0899042
Consumer Discretionary,AAPL.UW.Equity,1326.525284,2007-12-01,1837.860619,28.3,28.99,25.29,181.86,0,833.75,91.69,34,33,2787,-3462,485,6606,870,1015,0.1,9.2,39.2,43.79,3.21,13.64174455,8.720706877
Consumer Discretionary,AAPL.UW.Equity,1294.864506,2008-01-01,3666.62751,19.34,28.6,18.02,199.27,0,923.25,92.97,42,36,1193,-1362,77,10430,1640,2198,0.3,10.3,43.1,29.69,24.26,1.223825227,-31.66077739
Consumer Discretionary,AAPL.UW.Equity,1287.211973,2008-02-01,2648.800154,17.86,19.51,16.49,136.24,0,971.5,95.39,34,31,1193,-1362,77,10430,1640,2198,0.3,10.3,43.1,26.85,26.78,1.002613891,-7.652533609
Consumer Discretionary,AAPL.UW.Equity,1301.993608,2008-03-01,2396.405347,20.5,20.82,16.86,124.44,0,933.5,105.45,34,32,1193,-1362,77,10430,1640,2198,0.3,10.3,43.1,27.62,23.39,1.180846516,14.78163494
Consumer Discretionary,AAPL.UW.Equity,1323.21312,2008-04-01,2266.272519,24.85,25.55,20.65,146.3,0,871,112.58,34,29,1321,-1372,354,7980,1101,1448,0.2,7,29,38.31,19.62,1.952599388,21.2195122
Consumer Discretionary,AAPL.UW.Equity,1331.704066,2008-05-01,1834.001351,26.96,27.46,24.64,175.23,0,885.75,125.4,30,27,1321,-1372,354,7980,1101,1448,0.2,7,29,40.38,17.78,2.271091114,8.490945674
Consumer Discretionary,AAPL.UW.Equity,1320.428101,2008-06-01,1997.343012,23.92,27.13,23.46,188.6,0,930.25,133.88,32,28,1321,-1372,354,7980,1101,1448,0.2,7,29,35.5,19.31,1.838425686,-11.27596439
Consumer Discretionary,AAPL.UW.Equity,1315.369573,2008-07-01,1909.559736,22.71,25.84,20.94,164.23,0,918,133.37,35,31,4295,-1993,200,7561,1131,1535,0.2,7.5,31.8,29.93,24.32,1.230674342,-5.058528428
Consumer Discretionary,AAPL.UW.Equity,1322.018626,2008-08-01,1183.709835,24.22,25.78,21.84,159.9,0,833,116.67,28,28,4295,-1993,200,7561,1131,1535,0.2,7.5,31.8,26.14,21.24,1.230696798,6.64905328
Consumer Discretionary,AAPL.UW.Equity,1289.070649,2008-09-01,2281.514753,16.24,24.79,14.37,172.4,0,884.5,104.11,37,33,4295,-1993,200,7561,1131,1535,0.2,7.5,31.8,18.85,35.33,0.5335409,-32.94797688
Consumer Discretionary,AAPL.UW.Equity,1283.713506,2008-10-01,4035.271079,15.37,16.63,12.14,111.92,0,730.75,76.61,47,40,3938,-8639,62,11520,2247,3146,0.4,4.5,16.8,16.56,37.07,0.446722417,-5.357142857
Consumer Discretionary,AAPL.UW.Equity,1269.855341,2008-11-01,2190.700722,13.24,15.97,11.31,105.93,0,814.5,57.31,34,28,3938,-8639,62,11520,2247,3146,0.4,4.5,16.8,14.45,34.63,0.417268265,-13.85816526
Consumer Discretionary,AAPL.UW.Equity,1261.924827,2008-12-01,1943.819668,12.19,14.8,12.08,91.3,0,869.75,41.12,31,31,3938,-8639,62,11520,2247,3146,0.4,4.5,16.8,13.31,31.9,0.417241379,-7.930513595
Consumer Discretionary,AAPL.UW.Equity,1267.585205,2009-01-01,1681.025927,12.88,13.88,11.17,85.88,0,919.5,41.71,31,30,841,-3685,74,11880,2255,3101,0.4,3.3,11.5,12.2,32.03,0.380892913,5.660377358
Consumer Discretionary,AAPL.UW.Equity,1266.653528,2009-02-01,1308.910267,12.76,14.71,12.36,89.1,0,952,39.09,28,27,841,-3685,74,11880,2255,3101,0.4,3.3,11.5,13.98,29.56,0.472936401,-0.931677019
Consumer Discretionary,AAPL.UW.Equity,1284.365127,2009-03-01,1373.272005,15.02,15.7,11.76,88.12,0,916.5,47.94,29,30,841,-3685,74,11880,2255,3101,0.4,3.3,11.5,15.44,25.73,0.60007773,17.71159875
Consumer Discretionary,AAPL.UW.Equity,1304.072184,2009-04-01,1031.083865,17.98,18.17,14.84,104.09,0,883.25,49.65,28,27,2270,-1339,208,9084,1620,2323,0.3,3.5,13.1,21.99,22.85,0.962363239,19.70705726
Consumer Discretionary,AAPL.UW.Equity,1311.969848,2009-05-01,802.297461,19.4,19.41,17.05,125.8,0,975.5,59.03,24,23,2270,-1339,208,9084,1620,2323,0.3,3.5,13.1,24.56,20.93,1.17343526,7.897664071
Consumer Discretionary,AAPL.UW.Equity,1316.866755,2009-06-01,1047.319553,20.35,20.91,18.98,136.47,0,934.5,69.64,30,29,2270,-1339,208,9084,1620,2323,0.3,3.5,13.1,28.46,19.39,1.46776689,4.896907216
Consumer Discretionary,AAPL.UW.Equity,1331.55963,2009-07-01,910.572803,23.34,23.57,19.2,143.5,0,939,64.15,27,27,3110,-3771,319,9734,1828,2632,0.3,4.4,16.2,33.67,16.27,2.069452981,14.69287469
Consumer Discretionary,AAPL.UW.Equity,1334.515928,2009-08-01,689.303874,24.03,24.64,22.77,165.21,0,955.5,71.04,28,29,3110,-3771,319,9734,1828,2632,0.3,4.4,16.2,35.41,15.08,2.348143236,2.956298201
Consumer Discretionary,AAPL.UW.Equity,1344.711517,2009-09-01,829.657738,26.48,26.98,23.44,167.99,0,995.75,69.41,35,32,3110,-3771,319,9734,1828,2632,0.3,4.4,16.2,39.67,12.99,3.053887606,10.19558885
Consumer Discretionary,AAPL.UW.Equity,1346.410913,2009-10-01,1097.293148,26.93,29.81,25.82,185.35,0,1040,75.72,37,32,5781,-3958,523,12207,2532,3684,0.4,5.3,20.4,44.42,11,4.038181818,1.69939577
Consumer Discretionary,AAPL.UW.Equity,1352.463642,2009-11-01,681.593276,28.56,29.71,26.51,189.8,0,1175.75,77.99,31,30,5781,-3958,523,12207,2532,3684,0.4,5.3,20.4,38.92,9.64,4.037344398,6.052729298
Consumer Discretionary,AAPL.UW.Equity,1357.925827,2009-12-01,854.165179,30.12,30.56,26.95,202.24,0,1087.5,74.47,30,30,5781,-3958,523,12207,2532,3684,0.4,5.3,20.4,36.79,8.3,4.43253012,5.462184874
Consumer Discretionary,AAPL.UW.Equity,1349.061285,2010-01-01,1209.103798,27.45,30.8,27.18,213.43,0,1078.5,78.33,46,41,2330,-83,162,15683,3378,4725,0.5,5.3,20.6,32.59,7.15,4.558041958,-8.864541833
